Agency,Name,Age,First Evaluation,Second Evaluation,Final Rank
Indivdual Trainees (No Company),Kim Sangbin,23,B,A,48
Indivdual Trainees (No Company),Kim Jaehwan,22,B,B,4
Indivdual Trainees (No Company),Kim Chan,22,D,F,82
Indivdual Trainees (No Company),Lee Insoo,22,C,B,57
Indivdual Trainees (No Company),Choi Dongha,23,C,B,48
2able Company,Joo Wontak,22,B,C,62
2Y Entertainment,Lee Kiwon,22,D,D,53
Ardor and Able,Noh Taehyun,25,A,A,25
Ardor and Able,Ha Sungwoon,24,A,A,11
Banana Entertainment,Yoon Yongbin,23,C,D,73
Blessing Entertainment,Yu Jinwon,21,C,F,75
Blessing Entertainment,Im Woohyuk,24,C,C,66
Brand New Music,Kim Donghyun,20,B,B,28
Brand New Music,Park Woojin,19,A,A,6
Brand New Music,Lee Daehwi,17,A,A,3
Brand New Music,Lim Youngmin,23,B,A,15
Brave Entertainment,Kim Samuel,16,A,A,18
C2K Entertainment,Kim Seongri,24,B,A,47
C9 Entertainment,Bae Jinyoung,18,C,F,10
Choon Entertainment,Kim Shihyun,20,D,D,Left the show
Choon Entertainment,Jin Longguo,22,C,D,21
Cre.Ker Entertainment,Ju Haknyeon,19,F,F,19
CS Entertainment,Jo Jinhyung,22,D,B,72
CUBE Entertainment,Lai Guanlin,17,D,F,7
CUBE Entertainment,Yoo Seonho,16,F,F,17
Fent Entertainment,Lee Junwoo,20,F,C,50
Fantagio Music,Ong Seongwoo,23,A,A,5
FNC Entertainment,Yoo Hweseung,23,D,C,39
Gini Stars Entertainment,Kim Dohyun,26,C,C,92
Gini Stars Entertainment,Park Heeseok,26,D,C,86
Gini Stars Entertainment,Wang Minhyuk,24,D,D,89
GNI Entertainment,Jeong Sihyun,27,F,F,77
GON Entertainment,Hong Eunki,21,C,D,38
Hanahreum Company,Kim Taemin,23,F,F,59 (left the show)
Happy Face Entertainment,Park Woodam,23,C,A,35
Happy Face Entertainment,Woo Jinyoung,21,C,D,40
Happy Face Entertainment,Jung Woncheol,22,F,C,95
Happy Face Entertainment,Jo Yonggeun,23,F,B,93
HIM Entertainment,Park Sungwoo,28,F,F,37
Hunus Entertainment,Kim Sanggyun,23,F,D,26
I.ONE Entertainment,Kim Yeonguk,23,F,D,76
I.ONE Entertainment,Nam Yoonsung,22,F,C,Left the show
I.ONE Entertainment,Yoo Hoyeon,20,F,C,87
I.ONE Entertainment,Choi Heesoo,21,F,F,96
IMX Entertainment,Cho Kyumin,25,F,D,88
IT Entertainment,Lee Seokyu,20,F,D,69
IT Entertainment,Han Minho,21,D,C,74
Jellyfish Entertainment,Yoon Heeseok,21,F,B,46
K-Tigers Entertainment,Byun Hyunmin,19,F,C,45
Kiwi Media Group,Kim Dongbin,17,F,F,58
Maroo Entertainment,Kwon Hyeop,20,D,C,65
Maroo Entertainment,Park Jihoon,19,C,B,2
Maroo Entertainment,Han Jongyeon,20,B,A,Left the show
Media Line,Lee Woojin,15,B,A,35
MMO Entertainment,Kang Daniel,22,B,A,1
MMO Entertainment,Kim Jaehan,23,C,C,81
MMO Entertainment,Yoon Jisung,27,F,D,8
MMO Entertainment,Joo Jinwoo,25,F,F,41
MMO Entertainment,Choi Taewoong,24,C,D,71
Namoo Actors,Lee Youjin,26,D,C,54
Narda Entertainment,Kim Taewoo,25,F,D,49
ONO Entertainment,Jang Moonbok,23,F,F,27
Oui Entertainment,Kim Donghan,20,D,B,29
Oui Entertainment,Jang Daehyeon,21,B,D,83
Oui Entertainment,Jo Sungwook,22,F,F,91
Pan Entertainment,Lee Jihan,20,F,B,98
PLEDIS Entertainment,Kang Dongho,23,D,D,13
PLEDIS Entertainment,Kim Jonghyun,23,D,B,14
PLEDIS Entertainment,Choi Minki,23,D,F,20
PLEDIS Entertainment,Hwang Minhyun,23,C,D,9
Rainbow Bridge World,Son Dongmyeong,19,D,F,68
Rainbow Bridge World,Yeo Hwanwoong,20,B,B,42
Rainbow Bridge World,Lee Gunmin,22,D,F,94
Rainbow Bridge World,Lee Gunhee,20,D,D,33
Rainbow Bridge World,Choi Jaewoo,21,C,B,97
S How Entertainment,Kim Namhyung,25,A,A,52
S How Entertainment,Jeong Dongsu,27,B,C,36
Star Road Entertainment,Takada Kenta,23,C,B,24
Starship Entertainment,Lee Gwanghyun,20,B,C,44
Starship Entertainment,Jung Sewoon,21,B,B,12
STL Entertainment,Choi Junyoung,22,B,C,90
The Jackie Chan Group Korea,Kim Chanyul,26,F,F,78
The Jackie Chan Group Korea,Choi Hadon,25,D,F,85
The Vibe Label,Kim Taedong,21,F,A,30
The Vibe Label,Seong Hyunwoo,22,C,B,61
The Vibe Label,Yoon Jaechan,19,B,C,55
The Vibe Label,Ha Minho,20,B,C,60 (Left the show)
Totalset Entertainment,Yoo Kyungmok,24,D,C,84
Wayz Company,Jung Joongji,26,F,F,64
WH Creative,Seo Sunghyuk,19,D,D,31
WIDMAY Entertainment,Kim Yehyeon,19,F,C,32
Wings Entertainment,Kim Yongjin,21,D,F,56
YGKPlus,Kwon Hyunbin,21,F,F,22
YGKPlus,Kim Hyunwoo,20,F,C,70
YGKPlus,Lee Hoolim,26,D,B,80
YGKPlus,Jeong Hyojun,26,F,F,67
Yuehua Entertainment,Ahn Hyeongseop,19,D,A,16
Yuehua Entertainment,Lee Euiwoong,17,C,D,23
Yuehua Entertainment,Justin,16,C,D,43
Yuehua Entertainment,Jung Jung,22,C,D,51
Yuehua Entertainment,Choi Seunghyuk,19,D,D,79
