Compan,Name,Age,1st Eval.,2nd Eval.,1st ranking period,Final Rank
Individual Trainee (No company),Park Seoyoung,20,C,D,34,55
Individual Trainee (No company),Park Jinny,21,C,F,52,69
8D Creative,Kang Hyewon,20,F,F,38,8
A Team Entertainment,Kim Choyeon,18,A,C,68,50
Banana Culture,Kim Nayoung,17,C,A,55,21
Banana Culture,Kim Dahye,17,A,C,80,75
Blockberry Creative,Go Yujin,19,C,A,24,31
CNC Entertainment,Kim Dayeon,16,B,B,60,70
CNC Entertainment,Kim Yubin,17,B,D,90,88
CNC Entertainment,Yoon Eunbin,15,B,B,54,65
CNC Entertainment,Lee Yujeong,15,C,C,33,51
CNC Entertainment,Hong Yeji,17,B,F,76,78
Collazoo Company,Kim Hyunah,24,B,B,67,46
CUBE Entertainment,Han Chowon,17,D,B,64,13
FAVE Entertainment,Shin Suhyun,23,D,F,42,61
Fent Entertainment,Kim Doah,16,A,C,31,23
FNC Entertainment,Park Haeyoon,23,A,D,59,19
FNC Entertainment,Cho Ahyeong,18,C,B,83,72
HOW Entertainment,Kim Minseo,17,C,C,62,44
HOW Entertainment,Wang Ke,19,B,D,92,56
HOW Entertainment,Yu Minyoung,19,A,B,86,54
Million Market,Son Eunchae,20,C,B,95,32
Million Market,Cho Sarang,16,B,F,89,89
MMO Entertainment,Won Seoyeon,19,C,F,81,92
M&D17,Park Minji,20,B,B,49,53
M&D17,Park Chanju,20,C,D,85,68
M&D17,Lee Chaejeong,20,C,C,96,79
MNH Entertainment,Lee Haeun,15,A,A,51,48
PLEDIS Entertainment,Lee Kaeun,25,A,A,5,14
PLEDIS Entertainment,Huh Yunjin,18,C,F,19,26
Rainbow Bridge World,Na Goeun,20,A,A,36,29
Rainbow Bridge World,Park Jieun,22,C,F,77,80
Starship Entertainment,An Yujin,16,B,A,2,5
Starship Entertainment,Jang Wonyoung,15,B,B,3,1
Starship Entertainment,Cho Kahyeon,16,B,B,65,57
Stone Music Entertainment,Bae Eunyeong,22,C,B,18,36
Stone Music Entertainment,Lee Sian,20,C,D,8,30
Stone Music Entertainment,Jang Gyuri,22,B,F,6,25
Stone Music Entertainment,Jo Yuri,18,A,F,10,3
The Music Works,Yoon Haesol,22,B,D,40,35
The Music Works,Choi Soeun,18,B,C,86,90
Urban Works Entertainment,Kim Minju,18,D,C,13,11
Wellmade Yedang,Kang Damin,15,B,A,70,62
Wellmade Yedang,Hwang Soyeon,19,A,A,90,60
WM Entertainment,Lee Seunghyeon,18,B,C,66,73
WM Entertainment,Lee Chaeyeon,19,A,A,29,12
WM Entertainment,Cho Yeongin,18,B,C,74,84
Woollim Entertainment,Kwon Eunbi,24,A,C,25,7
Woollim Entertainment,Kim Sohee,16,C,B,48,43
Woollim Entertainment,Kim Suyoon,18,C,C,58,47
Woollim Entertainment,Kim Chaewon,19,B,B,21,10
YGK+ Entertainment,Ahn Yewon,18,F,F,82,86
YGK+ Entertainment,Choi Yeonsoo,20,D,F,47,66
Yuehua Entertainment,Kim Sihyun,20,B,A,15,27
Yuehua Entertainment,Wang Yiren,19,B,C,11,28
Yuehua Entertainment,Choi Yena,20,A,B,7,4
ZB Label,Alex Christine,23,B,C,88,82
AKB48,Goto Moe,18,F,C,16,24
AKB48,Nagano Serika,18,F,F,72,77
AKB48,Nakano Ikumi,19,D,B,43,59
AKB48,Nakanishi Chiyori,24,D,C,22,37
AKB48,Mogi Shinobu,22,F,D,44,63
AKB48,Muto Tomu,25,D,D,23,38
AKB48,Miyazaki Miho,26,D,D,17,15
AKB48,Sato Minami,16,D,F,57,39
AKB48,Shinozaki Ayana,23,F,F,84,91
AKB48,Shitao Miu,18,D,D,41,18
AKB48,Asai Nanami,19,F,D,26,42
AKB48,Oda Erina,22,C,F,56,64
AKB48,Iwatate Saho,25,B,D,46,40
AKB48,Ichikawa Manami,20,F,C,79,81
AKB48,Chiba Erii,16,F,F,27,33
AKB48,Kojima Mako,22,C,B,12,34
AKB48,Takahashi Juri,22,B,A,20,16
AKB48,Takeuchi Miyu,23,A,B,39,17
AKB48,Honda Hitomi,18,C,A,30,9
HKT48,Matsuoka Natsumi,23,F,C,35,67
HKT48,Motomura Aoi,22,D,B,37,52
HKT48,Murakawa Vivian,20,F,F,28,45
HKT48,Miyawaki Sakura,21,A,A,1,2
HKT48,Aramaki Misaki,18,F,F,50,49
HKT48,Yabuki Nako,18,F,A,14,6
HKT48,Imada Mina,22,D,C,53,76
HKT48,Tsukiashi Amane,20,F,F,78,Left The Show
HKT48,Kurihara Sae,23,F,D,73,83
HKT48,Tanaka Miku,18,F,C,63,Left The Show
NGT48,Yamada Noe,20,C,F,45,41
NGT48,Hasegawa Rena,18,D,F,61,71
NMB48,Naiki Kokoro,22,D,C,75,87
NMB48,Murase Sae,22,D,C,32,22
NMB48,Shiroma Miru,22,B,D,9,20
NMB48,Umeyama Cocona,16,F,-,94,Left The Show
NMB48,Uemura Azusa,20,F,-,93,Left The Show
NMB48,Kato Yuuka,22,C,B,71,74
SKE48,Matsui Jurina,22,B,B,4,Left the Show
SKE48,Asai Yuka,16,F,D,69,85
