Agency,Name,Mnet Profile Age,First Evaluation,Second Evaluation,Final Rank
Indivdual Trainees (No Company),Lee Eugene,16,X,F,55
Indivdual Trainees (No Company),Choi Suhwan,19,A,A,28
Indivdual Trainees (No Company),Kang Seokhwa,20,C,B,35
Indivdual Trainees (No Company),Kim Sungyeon,18,C,B,45
Indivdual Trainees (No Company),Park Jinyeol,19,C,D,81
Indivdual Trainees (No Company),Lee Hyeop,21,C,D,24
Indivdual Trainees (No Company),Lee Hamin,24,A,B,63
Indivdual Trainees (No Company),Im Siu,21,D,-,Left the Show
Indivdual Trainees (No Company),Jung Youngbin,22,B,C,68
AAP.Y Entertainment,Kang Hyeonsu,21,A,A,26
AAP.Y Entertainment,Lee Midam,23,B,C,37
AAP.Y Entertainment,Jung Myunghoon,23,B,B,71
A.CONIC Entertainment,Kwon Taeeun,21,X,F,34
Around Us Entertainment,Woo Jewon,22,A,C,54
Around Us Entertainment,Jeong Jaehun,20,A,C,39
Around Us Entertainment,Choi Sihyuk,20,B,C,79
Astory Entertainment,Jeon Hyunwoo,23,B,C,64
Astory Entertainment,Heo Jinho,22,C,B,83
Brand New Music,Kim Sihoon,21,B,A,27
Brand New Music,Yun Junghwan,19,A,B,38
Brand New Music,Lee Eunsang,18,A,C,11 (X)
Brand New Music,Hong Seongjun,21,B,F,51
C9 Entertainment,Keum Donghyun,17,B,C,17
C9 Entertainment,Lee Jaebin,20,B,B,95
Chandelier Music,Kongthap Peak,18,D,D,50
Cre.Ker Entertainment,Gwon Huijun,19,X,F,56
DS Entertainment,Steven Kim,20,X,D,72
DSP Media,Son Dongpyo,18,B,A,6
DSP Media,Lee Junhyuk,20,C,A,75
DSP Media,Lee Hwan,19,B,B,67
Enfant Terrible Entertainment,Choi Byunghoon,20,D,F,98
ESteem Entertainment,Kim Seunghwan,21,X,D,89
ESteem Entertainment,Anzardi Timothee,21,X,F,61
ESteem Entertainment,Yuri,26,B,D,40
ESteem Entertainment,Kim Jingon,22,X,D,62
E Entertainment,Won Hyuk,18,B,D,33
E Entertainment,Lee Wonjun,18,B,D,47
Fantagio Music,Han Gichan,22,X,C,57
Gost Entertainment,Yun Hyunjo,23,X,F,96
Gost Entertainment,Lee Sangho,23,X,X,88
Happy Face Entertainment,Won Hyunsik,23,C,D,77
HONGYI Entertainment,Wei Zi Yue,22,C,F,43
HONGYI Entertainment,Tony,18,A,F,20
iMe Entertainment,Lee Sejin,24,X,F,19
Jellyfish Entertainment,Kim Minkyu,19,X,D,12
Jellyfish Entertainment,Choi Junseong,18,B,D,46
JH1,Uehara Jun,24,D,C,91
JYP Entertainment,Yun Seobin,21,C,-,Left the Show
Kiwi Media Group,Kim Hyeongmin,21,D,B,90
Kiwi Media Group,Song Changha,20,C,B,73
Kiwi Media Group,Lim Dahun,20,C,D,97
KRAZY Entertainment,Kim Kwanwoo,23,C,C,80
Maroo Entertainment,Lee Woojin,17,X,F,41
Maroo Entertainment,Lee Jinwoo,16,C,B,22
Maroo Entertainment,Lee Taeseung,17,X,F,53
MBK Entertainment,Kim Yeongsang,23,D,F,65
MBK Entertainment,Lee Hangyul,21,C,B,7
MBK Entertainment,Nam Dohyon,16,A,D,8
Million Market,Yoo Geunmin,22,C,D,70
MLD Entertainment,Kim Dongbin,19,B,C,42
The Music Works,Kim Kookheon,22,A,A,21
The Music Works,Song Yuvin,21,A,A,15
NEST Entertainment,Park Yoonsol,24,C,A,48
NEST Entertainment,Oh Saebom,26,C,C,69
OUI Entertainment,Kim Yohan,21,A,C,1
Plasma Entertainment,Park Sion,18,X,F,93
Plan A Entertainment,Choi Byungchan,22,A,A,Left the Show
Plan A Entertainment,Han Seungwoo,25,A,A,3
SF Entertainment,Sung Minseo,19,D,D,87
SidusHQ,Park Sunho,27,B,C,25
Source Music,Kim Hyeonbin,18,D,A,30
Source Music,Yoon Mingook,18,D,C,92
Source Music,Tsai Chia Hao,22,D,D,78
Starship Entertainment,Kang Minhee,18,X,D,10
Starship Entertainment,Moon Hyunbin,20,D,A,32
Starship Entertainment,Ham Wonjin,19,D,A,16
Starship Entertainment,Koo Jungmo,20,X,F,13
Starship Entertainment,Song Hyeongjun,18,X,D,4
Stone Music Entertainment,Kim Sunghyun,24,C,C,44
The South,Nam Donghyun,21,A,C,60
Think About Entertainment,Kim Junjae,20,X,F,94
TOP Media,Kim Wooseok,24,B,A,2
TOP Media,Lee Jinhyuk,24,B,A,14
Urban Works Entertainment,Kim Dongkyu,20,D,B,99
Urban Works Entertainment,Kim Minseo,18,D,C,82
Urban Works Entertainment,Byeon Seongtae,22,D,D,66
Urban Works Entertainment,Hong Sunghyen,24,B,C,85
Vine Entertainment,Baek Jin,25,B,F,36
Woollim Entertainment,Kim Dongyun,18,D,B,23
Woollim Entertainment,Kim Minseo,18,X,F,52
Woollim Entertainment,Moon Junho,20,X,F,59
Woollim Entertainment,Joo Changuk,19,D,B,29
Woollim Entertainment,Cha Junho,18,C,C,9
Woollim Entertainment,Hwang Yunseong,20,B,D,18
WM Entertainment,Lee Gyuhyung,26,C,D,76
WUZO Entertainment,Choi Jinhwa,18,A,D,74
YG Entertainment,Wang Jyunhao,20,C,F,58
YG Entertainment,Hidaka Mahiro,19,D,D,49
Yuehua Entertainment,Yu Seongjun,19,X,F,86
Yuehua Entertainment,Cho Seungyoun,24,B,B,5
Yuehua Entertainment,Hwang Geumryul,22,C,C,84
